"gameId","playId","playDescription","quarter","down","yardsToGo","possessionTeam","defensiveTeam","yardlineSide","yardlineNumber","gameClock","preSnapHomeScore","preSnapVisitorScore","playNullifiedByPenalty","absoluteYardlineNumber","preSnapHomeTeamWinProbability","preSnapVisitorTeamWinProbability","expectedPoints","offenseFormation","receiverAlignment","playClockAtSnap","passResult","passLength","targetX","targetY","playAction","dropbackType","dropbackDistance","passLocationType","timeToThrow","timeInTackleBox","timeToSack","passTippedAtLine","unblockedPressure","qbSpike","qbKneel","qbSneak","rushLocationType","penaltyYards","prePenaltyYardsGained","yardsGained","homeTeamWinProbabilityAdded","visitorTeamWinProbilityAdded","expectedPointsAdded","isDropback","pff_runConceptPrimary","pff_runConceptSecondary","pff_runPassOption","pff_passCoverage","pff_manZone"
2022102302,2655,"(1:54) (Shotgun) J.Burrow pass short middle to T.Boyd to CIN 30 for 9 yards (J.Hawkins).",3,1,10,"CIN","ATL","CIN",21,"01:54",35,17,"N",31,0.982017487753183,0.0179825122468174,0.719313454814255,"EMPTY","3x2",10,"C",6,36.69,16.51,FALSE,"TRADITIONAL",2.40000009536743,"INSIDE_BOX",2.99,2.99000000953674,NA,FALSE,FALSE,FALSE,"0",NA,NA,NA,9,9,0.00463384250178933,-0.00463384250178933,0.702716691652313,TRUE,NA,NA,0,"Cover-3","Zone"
2022091809,3698,"(2:13) (Shotgun) J.Burrow pass short right to H.Hurst to CIN 12 for 4 yards (L.Vander Esch).",4,1,10,"CIN","DAL","CIN",8,"02:13",17,17,"N",18,0.424356237053871,0.575643762946129,0.607745570130646,"EMPTY","3x2",9,"C",4,20.83,20.49,FALSE,"TRADITIONAL",1.13999998569489,"INSIDE_BOX",1.836,1.83599996566772,NA,FALSE,FALSE,FALSE,"0",NA,NA,NA,4,4,0.00284692645072937,-0.00284692645072937,-0.24050861550495,TRUE,NA,NA,0,"Quarters","Zone"
2022103004,3146,"(2:00) (Shotgun) D.Mills pass short right to D.Pierce to HST 26 for 6 yards (D.Walker).",4,3,12,"HOU","TEN","HOU",20,"02:00",3,17,"N",30,0.00629123742692173,0.993708762573078,-0.29148515756242,"SHOTGUN","2x2",12,"C",-4,26.02,17.56,FALSE,"TRADITIONAL",3.20000004768372,"INSIDE_BOX",2.236,2.23600006103516,NA,FALSE,FALSE,FALSE,"0",NA,NA,NA,6,6,0.000204717274755239,-0.000204717274755239,-0.218480399809778,TRUE,NA,NA,0,"Quarters","Zone"
2022110610,348,"(9:28) (Shotgun) P.Mahomes pass short left to I.Pacheco to TEN 19 for 4 yards (Z.Cunningham).",1,2,10,"KC","TEN","TEN",23,"09:28",0,0,"N",33,0.884223157539964,0.115776842460036,4.24938195967115,"SHOTGUN","2x2",11,"C",-6,38.95,14.19,FALSE,"TRADITIONAL",3.01999998092651,"INSIDE_BOX",2.202,2.20199990272522,NA,FALSE,FALSE,FALSE,"0",NA,NA,NA,4,4,-0.00130824744701385,0.00130824744701385,-0.42774858372286,TRUE,NA,NA,0,"Quarters","Zone"
2022102700,2799,"(2:16) (Shotgun) L.Jackson up the middle to TB 28 for -1 yards (R.Nunez-Roches).",3,2,8,"BAL","TB","TB",27,"02:16",10,10,"N",37,0.410371426492929,0.589628573507071,3.92841257643886,"PISTOL","3x1",8,"",NA,NA,NA,TRUE,"DESIGNED_RUN",2.02999997138977,NA,NA,NA,NA,NA,NA,NA,"0",FALSE,"INSIDE_LEFT",NA,-1,-1,0.0271411500871181,-0.0271411500871181,-0.638911766931415,FALSE,"MAN","READ OPTION",0,"Cover-1","Man"
2022100205,2314,"(14:15) Ja.Williams up the middle to DET 32 for 3 yards (C.Barton; U.Nwosu).",3,2,6,"DET","SEA","DET",29,"14:15",15,31,"N",39,0.138289123773575,0.861710876226425,1.06693097669631,"SINGLEBACK","3x1",15,"",NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",FALSE,"INSIDE_RIGHT",NA,3,3,-0.0242097042500973,0.0242097042500973,-0.442517386749387,FALSE,"MAN",NA,0,"Cover 6-Left","Zone"
2022110605,3861,"(:29) (Shotgun) J.Wilkins up the middle to IND 45 for 5 yards (J.Uche).",4,1,10,"IND","NE","IND",40,"00:29",26,3,"N",50,0.997811435256153,0.00218856474384665,0.991169406333938,"SHOTGUN","2x2",18,"",NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",FALSE,"OUTSIDE_LEFT",NA,5,5,0.00218856474384665,-0.00218856474384665,-0.991169406333938,FALSE,"INSIDE ZONE",NA,0,"Cover-2","Zone"
2022100203,3994,"(:35) K.Murray kneels to CAR 29 for -1 yards.",4,3,12,"ARI","CAR","CAR",28,"00:35",16,26,"N",82,0.00525286979973316,0.994747130200267,2.1546907533193,NA,NA,2,"",NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",FALSE,"UNKNOWN",NA,-1,-1,-0.00525286979973316,0.00525286979973316,0,FALSE,"UNDEFINED",NA,0,NA,NA
2022091104,3662,"(12:51) (Shotgun) J.Hurts pass incomplete short right to D.Smith (A.Bryant) [J.Cominsky].",4,3,12,"PHI","DET","PHI",35,"12:51",28,38,"N",45,0.0786109250038862,0.921389074996114,-0.141129810595885,"SHOTGUN","3x1",3,"I",-6,44.69,10.53,FALSE,"TRADITIONAL",1.77999997138977,"INSIDE_BOX",1.568,1.567999958992,NA,TRUE,TRUE,FALSE,"0",NA,NA,NA,0,0,0.0123612862080336,-0.0123612862080336,-1.16162058082409,TRUE,NA,NA,0,"Cover-0","Man"
2022100204,1422,"(5:22) (Shotgun) C.Rush pass short left to M.Gallup to 50 for 15 yards (K.Fuller).",2,3,8,"DAL","WAS","DAL",35,"05:22",6,7,"N",45,0.539959710091352,0.460040289908648,0.448001843877137,"SHOTGUN","3x1",12,"C",15,59.63,40.74,FALSE,"TRADITIONAL",5.15999984741211,"INSIDE_BOX",3.203,3.20300006866455,NA,FALSE,FALSE,FALSE,"0",NA,NA,NA,15,15,0.0584896355867386,-0.0584896355867386,2.1947601318825,TRUE,NA,NA,0,"Quarters","Zone"
